row,corr_peak,lag_ms,cfo_hz,snr_dB
814,0.00505081685852501,-1.31032123151938,-19772.5070876991,2.33507959358823
815,0.00500433938024907,-1.94355913140224,-38023.9538852501,2.33507959358823
816,0.00550784654486277,0.78010135051978,-70664.8738302843,-1.92474223558871
817,0.0048991783163277,0.468037563263931,29058.3305725058,-3.26350694275335
818,0.00447667756177687,-0.593039201164682,10111.8419216366,-1.1831839892222
819,0.00443465147476789,-0.244190300411629,-36772.2468431619,-3.46797843063661
820,0.00456743918930552,-6.61974364573048,61756.547106037,2.33507959358823
821,0.00462385222644913,-6.69237237168787,61818.0245174914,2.33507959358823
822,0.0043187089969381,-7.20004051881701,932.080690758962,2.33507959358823
823,0.00416080919690544,-7.58911867241935,4203.75331787461,2.33507959358823
824,0.00459471622762469,-8.39195661573156,58708.8127247899,2.33507959358823
825,0.00443330749426301,-3.01791715504096,5473.00550084101,-1.86852295378195
826,0.00426452237247586,-3.90436052856532,76802.8333869324,-2.20926638006204
827,0.00428248612641964,-3.9769872306853,76782.1849412757,-2.20926638006204
828,0.0041035383877844,-5.08665608382917,-8147.53317571471,-4.05869640354341
829,0.00437592103018899,-4.90282109151092,-8123.97185501054,-2.39060435986762
830,0.0039729308111143,-6.99211288472037,-13675.5817048367,0.351931611734463
831,0.00411723585411293,-6.10616338476514,-13640.586437182,-4.58630347759049
832,0.00405786897685955,-6.93232213639293,-14304.5762146382,-4.64871496696694
833,0.00409008213126565,-7.00495108110893,-14371.6034285699,-4.64871496696694
834,0.0042356347218171,-8.49523643891241,-8926.45263469845,-1.08075232499674
835,0.00424943411042078,-8.56786501769371,-8941.06770200373,-1.08075232499674
836,0.00450584187494922,-8.70950799780769,-49515.8826672914,-4.5944425486251
837,0.0043125814709016,-9.79575774510434,6154.35581579353,0.741975100013803
838,0.00475254340376755,-10.8844060609916,-5261.36946474388,0.0662971261837628
839,0.0044153030334935,-5.62292379828028,-4959.1949478921,5.2702566658682
840,0.00408697728783386,-5.82117584625199,69713.5663227149,-1.54114292064233
841,0.00419435386884841,-5.73839708641151,-70443.3214377677,-3.2145658401985
